Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20077030,NT,2,2007,Friday,14:30,Single,No,No,No,110,Driver,Female,33,No,No,26_to_39,Weekday,Day
20152147,Vic,7,2015,Wednesday,3:05,Multiple,No,No,No,60,Motorcycle rider,Male,39,No,No,26_to_39,Weekday,Night
20083036,Qld,10,2008,Friday,11:00,Multiple,No,No,Yes,100,Driver,Male,43,No,No,40_to_64,Weekday,Day
20191230,NSW,12,2019,Friday,1:20,Single,No,No,No,40,Motorcycle rider,Male,31,Yes,No,26_to_39,Weekday,Night
20171265,NSW,4,2017,Wednesday,7:30,Multiple,No,Yes,No,60,Passenger,Female,72,No,No,65_to_74,Weekday,Day
20135033,WA,11,2013,Friday,14:46,Single,No,Yes,No,100,Pedestrian,Male,40,No,No,40_to_64,Weekday,Day
20043194,Qld,3,2004,Thursday,15:00,Multiple,No,Yes,No,100,Driver,Male,45,No,No,40_to_64,Weekday,Day
20083049,Qld,10,2008,Saturday,7:00,Single,No,No,No,100,Motorcycle rider,Male,28,No,No,26_to_39,Weekend,Day
20012385,Vic,8,2001,Tuesday,15:44,Multiple,No,No,No,60,Passenger,Female,56,No,No,40_to_64,Weekday,Day
20193184,Qld,1,2019,Monday,20:00,Single,No,No,No,100,Driver,Male,18,No,No,17_to_25,Weekday,Night
20214020,SA,4,2021,Tuesday,17:47,Single,No,No,No,60,Pedestrian,Male,15,No,No,0_to_16,Weekday,Day
20021019,NSW,3,2002,Saturday,3:19,Single,No,No,No,80,Motorcycle rider,Male,20,No,No,17_to_25,Weekend,Night
20151085,NSW,1,2015,Saturday,18:15,Multiple,No,No,No,50,Motorcycle rider,Male,20,No,No,17_to_25,Weekend,Night
20182136,Vic,11,2018,Sunday,14:00,Single,No,No,No,100,Driver,Male,51,No,No,40_to_64,Weekend,Day
20083240,Qld,9,2008,Sunday,22:00,Multiple,No,No,Yes,80,Motorcycle rider,Male,25,No,No,17_to_25,Weekend,Night
19972159,Vic,5,1997,Wednesday,19:45,Single,No,No,No,60,Pedestrian,Female,61,No,No,40_to_64,Weekday,Night
20091404,NSW,3,2009,Monday,16:12,Multiple,No,No,No,50,Motorcycle rider,Male,28,No,No,26_to_39,Weekday,Day
20144006,SA,10,2014,Wednesday,8:30,Single,No,No,No,100,Driver,Female,53,No,No,40_to_64,Weekday,Day
